qid,question_type,support_status,evidence_chunk_ids,question,gold_answer,review_note
FB-0001,FB,supported,textbook13-r0004-c002,"In Java, accessing an object’s methods requires the _____ operator.",dot,
FB-0004,FB,supported,textbook13-r0049-c004,"When class A is using class B for something, the methods and fields class A can access in class B are called class B’s __________.",interface,
FB-0005,FB,not_found,,A copy is ________ times as fast as a swap.,three,
FB-0009,FB,supported,textbook13-r0117-c000,A __________ transforms a range of key values into a range of index values.,hash function,
FB-0011,FB,supported,textbook13-r0119-c000,Separate chaining involves the use of a _____________ at each location.,linked list,
FB-0018,FB,not_found,,Either variables of primitive types or _________ can be placed in an array.,objects,
FB-0019,FB,supported,textbook13-r0030-c000,The two basic operations in simple sorting are _________ items and _________ them (or sometimes _________ them).,"comparing, swapping, copying",
FB-0020,FB,supported,textbook13-r0028-c000,The invariant in the insertion sort is that ________.,Items with indices less than outer are partially sorted,
FB-0023,FB,supported,textbook13-r0068-c001,"If an array has 100 elements, then Knuth’s algorithm would start with an interval of ________.",40,
FB-0025,FB,supported,textbook13-r0071-c001,Quicksort involves partitioning the original array and then _________.,partitioning the resulting subarrays,
FB-0026,FB,supported,textbook13-r0069-c006,Median-of-three partitioning is a way of choosing the _______ .,pivot,
FB-0027,FB,partial,textbook13-r0071-c001,"In quicksort, for an array of N elements, the partitionIt() method will examine each element approximately ______ times.",log2(N),正文支持快速排序的 N log N 分析，但题目所要求的逐元素检查次数需要进一步推导。
FB-0036,FB,not_found,,"A “crossover” node or subtree starts as a ________ and becomes a _______ , or vice versa.","left child, right child",
FB-0037,FB,supported,textbook13-r0122-c000,"In external hashing, all records with keys that hash to the same value are located in ___________.",the same block,
FB-0039,FB,supported,textbook17-r0179-c000,The eigenvalues of a matrix are found by solving the characteristic equation \det(A - \lambda I) = ________.,0,
FB-0041,FB,supported,textbook17-r0165-c001,The trace of a matrix is the sum of its ________ elements.,diagonal,
FB-0045,FB,supported,textbook16-r0002-c003,The variance of a random variable measures the ________ of its values.,dispersion,
FB-0046,FB,supported,textbook15-r0227-c001,A binomial distribution models the number of ________ in a fixed number of independent Bernoulli trials.,successes,
FB-0050,FB,not_found,,A function f(x) has a local maximum at x=a if f′(a)=0 and f''(a) < ________.,0,
